Song,Lyrics
Fearless,"there's something about the way the street looks when it's just rained there's a glow off the pavement you walk me to the car and you know i want to ask you to dance right there in the middle of the parking lot, yeah oh, yeah we're drivin' down the road i wonder if you know i'm trying so hard not to get caught up now but you're just so cool run your hands through your hair absentmindedly makin' me want you and i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless so baby, drive slow till we run out of road in this one-horse town i want to stay right here in this passenger seat you put your eyes on me in this moment now, capture it, remember it 'cause i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless well, you stood there with me in the doorway my hands shake, i'm not usually this way, but you pull me in and i'm a little more brave it's a first kiss, it's flawless, really something it's fearless 'cause i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless 'cause i don't know how it gets better than this you take my hand and drag me headfirst fearless and i don't know why but with you i'd dance in a storm in my best dress fearless"
Fifteen,"you take a deep breath and you walk through the doors it's the morning of your very first day you say hi to your friends you ain't seen in a while try and stay out of everybody's way it's your freshman year and you're gonna be here for the next four years in this town hoping one of those senior boys will wink at you and say you know i haven't seen you around, before 'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen feeling like there's nothing to figure out well, count to ten, take it in, this is life before you know who you're gonna be at fifteen you sit in class next to a redhead named abigail and soon enough you're best friends laughing at the other girls who think they're so cool we'll be out of here as soon as we can and then you're on your very first date, and he's got a car and you're feeling like flying and your mama's waiting up, and you're thinking he's the one and you're dancing 'round your room when the night ends when the night ends 'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen and your first kiss makes you head spin 'round but in your life you'll do things greater than dating the boy on the football team but i didn't know it at fifteen when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried 'cause when you're fifteen and somebody tells you they love you you're gonna believe them and when you're fifteen don't forget to look before you fall i've found time can heal most anything and you just might find who you're supposed to be i didn't know who i was supposed to be at fifteen at your very first day oh, take a deep breath, girl take a deep breath as you walk through the doors"
Love Story,"we were both young when i first saw you i close my eyes and the flashback starts i'm standing there on a balcony in summer air see the lights, see the party, the ball gowns see you make your way through the crowd and say: hello little did i know that you were romeo, you were throwing pebbles and my daddy said: stay away from juliet and i was crying on the staircase begging you: please, don't go and i said: romeo, take me somewhere we can be alone i'll be waiting, all there's left to do is run you'll be the prince and i'll be the princess it's a love story, baby, just say yes so i sneak out to the garden to see you we keep quiet 'cause we're dead if they knew so close your eyes escape this town for a little while, uh, oh 'cause you were romeo, i was a scarlet letter and my daddy said: stay away from juliet but you were everything to me i was begging you: please, don't go and i said: romeo, take me somewhere we can be alone i'll be waiting, all there's left to do is run you'll be the prince and i'll be the princess it's a love story, baby, just say yes romeo, save me, they're trying to tell me how to feel this love is difficult, but it's real don't be afraid, we'll make it out of this mess it's a love story, baby, just say yes oh, oh i got tired of waiting wondering if you were ever coming around my faith in you was fading when i met you on the outskirts of town and i said: romeo, save me, i've been feeling so alone i keep waiting for you, but you never come is this in my head? i don't know what to think he knelt to the ground and pulled out a ring and said: marry me, juliet, you'll never have to be alone i love you and that's all i really know i talked to your dad, go pick out a white dress it's a love story, baby, just say yes oh, oh, oh oh, oh, oh, oh 'cause we were both young when i first saw you"
Hey Stephen,"hey, stephen, i know looks can be deceiving but i know i saw a light in you and as we walked, we were talking and i didn't say half the things i wanted to of all the girls tossing rocks at your window i'll be the one waiting there, even when it's cold hey, stephen, boy, you might have me believing i don't always have to be alone 'cause i can't help it if you look like an angel can't help it if i want to kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else i can't help myself hey, stephen, i've been holding back this feeling so i've got some things to say to you, huh i seen it all so i thought, but i never seen nobody shine the way you do the way you walk, way you talk, way you say my name it's beautiful, wonderful, don't you ever change hey, stephen, why are people always leaving? i think you and i should stay the same 'cause i can't help it if you look like an angel can't help it if i want to kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else i can't help myself they're dimming the streets lights you're perfect for me why aren't you here tonight? i'm waiting alone now so come on and come out and pull me near and shine, shine, shine hey, stephen, i could give to you fifty reasons why i should be the one you choose well, all those other girls, well, they're beautiful but would they write a song for you? i can't help it if you look like an angel can't help it if i want to kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else i can't help myself if you look like an angel can't help it if i want to kiss you in the rain so come feel this magic i've been feeling since i met you can't help it if there's no one else i can't help myself myself can't help myself i can't help myself oh, oh, oh"
White Horse,"say you're sorry, that face of an angel comes out just when you need it to as i paced back and forth all this time 'cause i honestly believed in you holding on the days drag on stupid girl, i should've known, i should've known that i'm not a princess this ain't a fairytale i'm not the one you'll sweep off her feet lead her up the stairwell this ain't hollywood this is a small town i was a dreamer before you went and let me down now it's too late for you and your white horse to come around maybe i was naive, got lost in your eyes and never really had a chance my mistake, i didn't know to be in love you had to fight to have the upper hand i had so many dreams about you and me happy endings, but now i know that i'm not a princess this ain't a fairytale i'm not the one you'll sweep off her feet lead her up the stairwell this ain't hollywood this is a small town i was a dreamer before you went and let me down now it's too late for you and your white horse to come around and there you are on your knees begging for forgiveness, begging for me just like i always wanted, but i'm so sorry 'cause i'm not your princess this ain't a fairytale i'm gonna find someone someday who might actually treat me well this is a big world that was a small town there in my rearview mirror disappearing now and it's too late for you and your white horse now it's too late for you and your white horse to catch me now oh, oh, oh, oh try and catch me now it's too late to catch me now"
You Belong With Me,"you're on the phone with your girlfriend, she's upset she's going off about something that you said 'cause she doesn't get your humor like i do i'm in my room, it's a typical tuesday night i'm listening to the kind of music she doesn't like and she'll never know your story like i do 'cause she wears short skirts, i wear t-shirts she's cheer captain and i'm on the bleachers dreaming 'bout the day when you wake up and find that what you're looking for has been here the whole time if you could see that i'm the one who understands you been here all along, so why can't you see? you belong with me you belong with me walking in the streets with you and your worn-out jeans i can't help thinking this is how it ought to be laughing on a park bench thinking to myself hey, isn't this easy? and you've got a smile that could light up this whole town i haven't seen it in a while since she brought you down you say you're fine, i know you better than that hey, what ya doing with a girl like that? she wears high heels, i wear sneakers she's cheer captain and i'm on the bleachers dreaming about the day when you wake up and find that what you're looking for has been here the whole time if you could see that i'm the one who understands you been here all along, so why can't you see? you belong with me standing by and waiting at your backdoor all this time how could you not know, baby? you belong with me you belong with me oh, i remember you driving to my house in the middle of the night i'm the one who makes you laugh when you know you're about to cry i know your favorite songs and you tell me about your dreams think i know where you belong think i know it's with me can't you see that i'm the one who understands you? been here all along, so why can't you see? you belong with me standing by and waiting at your backdoor all this time how could you not know, baby? you belong with me you belong with me you belong with me have you ever thought just maybe you belong with me you belong with me"
Breathe,"i see your face in my mind as i drive away 'cause none of us thought it was gonna end that way people are people and sometimes we change our minds but it's killing me to see you go after all this time music starts playing like the end of a sad movie it's the kinda ending you don't really wanna see 'cause it's tragedy and it'll only bring you down now i don't know what to be without you around and we know it's never simple, never easy never a clean break, no one here to save me you're the only thing i know like the back of my hand and i can't breathe without you but i have to breathe without you but i have to never wanted this, never want to see you hurt every little bump in the road, i tried to swerve but people are people and sometimes it doesn't work out nothing we say is gonna save us from the fallout and we know it's never simple, never easy never a clean break, no one here to save me you're the only thing i know like the back of my hand and i can't breathe without you but i have to breathe without you but i have to it's 2am feeling like i just lost a friend hope you know it's not easy, easy for me it's 2am feeling like i just lost a friend hope you know this ain't easy, easy for me and we know it's never simple, never easy never a clean break, no one here to save me i can't breathe without you but i have to breathe without you but i have to breathe without you but i have to i'm sorry, i'm sorry i'm sorry, i'm sorry i'm sorry, i'm sorry i'm sorry"
Tell Me Why,"i took a chance, i took a shot and you might think i'm bulletproof, but i'm not you took a swing, i took it hard and down here from the ground i see who you are i'm sick and tired of your attitude i'm feeling like i don't know you you tell me that you love me then cut me down and i need you like a heartbeat but you know you got a mean streak makes me run for cover when you're around and here's to you and your temper yes, i remember what you said last night and i know that you see what you're doing to me tell me why you could write a book on how to ruin someone's perfect day well, i get so confused and frustrated forget what i'm trying to say i'm sick and tired of your reasons i've got no one to believe in you tell me that you want me then push me around and i need you like a heartbeat but you know you got a mean streak makes me run for cover when you're around here's to you and your temper yes, i remember what you said last night and i know that you see what you're doing to me tell me why why do you have to make me feel small? so you can feel whole inside why do you have to put down my dreams? so you're the only thing on my mind and i'm sick and tired of your attitude i'm feeling like i don't know you you tell me that you want me then cut me down i'm sick and tired of your reasons i've got no one to believe in you ask me for my love then you push me around here's to you and your temper yes, i remember what you said last night and i know that you see what you're doing to me tell me why why, tell me why i take a step back and let you go i told you i'm not bulletproof, now you know"
You're Not Sorry,"all this time i was wasting hoping you would come around i've been giving out chances every time and all you do is let me down and it's taken me this long, baby but i've figured you out and you're thinking we'll be fine again but not this time around you don't have to call anymore i won't pick up the phone this is the last straw don't wanna hurt anymore and you can tell me that you're sorry but i don't believe you, baby like i did before you're not sorry, no, no, no, no you're looking so innocent i might believe you if i didn't know could've loved you all my life if you hadn't left me waiting in the cold and you've got your share of secrets and i'm tired of being last to know, oh and now you're asking me to listen 'cause it's worked each time before but you don't have to call anymore i won't pick up the phone this is the last straw don't wanna hurt anymore and you can tell me that you're sorry but i don't believe you, baby like i did before you're not sorry, no, no you're not sorry, no, no you had me crawling for you, honey and it never would've gone away, no you used to shine so bright but i watched all of it fade so you don't have to call anymore i won't pick up the phone this is the last straw there's nothing left to beg for and you can tell me that you're sorry but i don't believe you, baby like i did before you're not sorry, no, no you're not sorry, no, no"
The Way I Loved You ‎,"he is sensible and so incredible and all my single friends are jealous he says everything i need to hear and it's like i couldn't ask for anything better he opens up my door and i get into his car and he says: you look beautiful tonight and i feel perfectly fine but i miss screaming and fighting and kissing in the rain and it's 2am and i'm cursing your name so in love that you act insane and that's the way i loved you breakin' down and coming undone it's a roller coaster kinda rush and i never knew i could feel that much and that's the way i loved you he respects my space and never makes me wait and he calls exactly when he says he will he's close to my mother, talks business with my father he's charming and endearing, and i'm comfortable but i miss screaming and fighting and kissing in the rain and it's 2am and i'm cursing your name so in love that you act insane and that's the way i loved you breakin' down and coming undone it's a roller coaster kinda rush and i never knew i could feel that much and that's the way i loved you he can't see the smile i'm faking and my heart's not breaking 'cause i'm not feeling anything at all and you were wild and crazy just so frustrating intoxicating, complicated got away by some mistake and now i miss screaming and fighting and kissing in the rain it's 2am and i'm cursing your name so in love that i acted insane and that's the way i loved you breakin' down and coming undone it's a roller coaster kinda rush and i never knew i could feel that much and that's the way i loved you oh, and that's the way i loved you never knew i could feel that much and that's the way i loved you"
