Song,Lyrics
the 1,"i'm doing good, i'm on some new shit been saying yes instead of no i thought i saw you at the bus stop, i didn't though i hit the ground running each night i hit the sunday matinée you know, the greatest films of all time were never made i guess you never know, never know and if you wanted me, you really should've showed and if you never bleed, you're never gonna grow and it's alright now but we were something, don't you think so? roaring twenties, tossing pennies in the pool and if my wishes came true it would've been you in my defense, i have none for never leaving well enough alone but it would've been fun if you would've been the one (ooh) i had this dream you're doing cool shit having adventures on your own you meet some woman on the internet and take her home we never painted by the numbers, baby but we were making it count you know, the greatest loves of all time are over now i guess you never know, never know and it's another day waking up alone but we were something, don't you think so? roaring twenties, tossing pennies in the pool and if my wishes came true it would've been you in my defense, i have none for never leaving well enough alone but it would've been fun if you would've been the one i, i, i persist and resist the temptation to ask you if one thing had been different would everything be different today? we were something, don't you think so? rosé flowing with your chosen family and it would've been sweet if it could've been me in my defense, i have none for digging up the grave another time but it would've been fun if you would've been the one"
cardigan,"vintage tee, brand-new phone high heels on cobblestones when you are young, they assume you know nothing sequin smile, black lipstick sensual politics when you are young, they assume you know nothing but i knew you dancin' in your levi's drunk under a streetlight, i i knew you hand under my sweatshirt baby, kiss it better, i and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite a friend to all is a friend to none chase two girls, lose the one when you are young, they assume you know nothing but i knew you playing hide-and-seek and giving me your weekends, i i knew you your heartbeat on the high line once in twenty lifetimes, i and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite to kiss in cars and downtown bars was all we needed you drew stars around my scars but now i'm bleedin' 'cause i knew you steppin' on the last train marked me like a bloodstain, i i knew you tried to change the ending peter losing wendy, i i knew you leavin' like a father running like water, i and when you are young, they assume you know nothing but i knew you'd linger like a tattoo kiss i knew you'd haunt all of my what-ifs the smell of smoke would hang around this long 'cause i knew everything when i was young i knew i'd curse you for the longest time chasin' shadows in the grocery line i knew you'd miss me once the thrill expired and you'd be standin' in my front porch light and i knew you'd come back to me you'd come back to me and you'd come back to me and you'd come back and when i felt like i was an old cardigan under someone's bed you put me on and said i was your favorite"
the last great american dynasty,"rebekah rode up on the afternoon train, it was sunny her saltbox house on the coast took her mind off st. louis bill was the heir to the standard oil name and money and the town said: how did a middle-class divorcée do it? the wedding was charming, if a little gauche there's only so far new money goes they picked out a home and called it holiday house their parties were tasteful, if a little loud the doctor had told him to settle down it must have been her fault his heart gave out and they said there goes the last great american dynasty who knows, if she never showed up, what could've been there goes the maddest woman this town has ever seen she had a marvelous time ruining everything rebekah gave up on the rhode island set forever flew in all her bitch pack friends from the city filled the pool with champagne and swam with the big names and blew through the money on the boys and the ballet and losing on card game bets with dalí and they said there goes the last great american dynasty who knows, if she never showed up, what could've been there goes the most shameless woman this town has ever seen she had a marvelous time ruining everything they say she was seen on occasion pacing the rocks, staring out at the midnight sea and in a feud with her neighbor she stole his dog and dyed it key lime green fifty years is a long time holiday house sat quietly on that beach free of women with madness, their men and bad habits and then it was bought by me who knows, if i never showed up, what could've been there goes the loudest woman this town has ever seen i had a marvelous time ruining everything i had a marvelous time ruining everything a marvelous time ruining everything a marvelous time i had a marvelous time"
exile,"i can see you standing, honey with his arms around your body laughin', but the joke's not funny at all and it took you five whole minutes to pack us up and leave me with it holdin' all this love out here in the hall i think i've seen this film before and i didn't like the ending you're not my homeland anymore so what am i defending now? you were my town, now i'm in exile, seein' you out i think i've seen this film before ooh, ooh, ooh ooh, ooh, ooh ooh, ooh, ooh i can see you starin', honey like he's just your understudy like you'd get your knuckles bloody for me second, third, and hundredth chances balancin' on breaking branches those eyes add insult to injury i think i've seen this film before and i didn't like the ending i'm not your problem anymore so who am i offending now? you were my crown, now i'm in exile, seein' you out i think i've seen this film before so i'm leaving out the side door so step right out, there is no amount of crying i can do for you all this time we always walked a very thin line you didn't even hear me out (you didn't even hear me out) you never gave a warning sign (i gave so many signs) all this time i never learned to read your mind (never learned to read my mind) i couldn't turn things around (you never turned things around) 'cause you never gave a warning sign (i gave so many signs) so many signs, so many signs you didn't even see the signs i think i've seen this film before and i didn't like the ending you're not my homeland anymore so what am i defending now? you were my town, now i'm in exile, seein' you out i think i've seen this film before so i'm leavin' out the side door so step right out, there is no amount of crying i can do for you all this time we always walked a very thin line you didn't even hear me out (didn't even hear me out) you never gave a warning sign (i gave so many signs) all this time i never learned to read your mind (never learned to read my mind) i couldn't turn things around (you never turned things around) 'cause you never gave a warning sign (i gave so many signs) (you never gave a warning sign) (all this time) (so many signs) i never learned to read your mind (so many signs) i couldn't turn things around (i couldn't turn things around) 'cause you never gave a warning sign (you never gave a warning sign) you never gave a warning sign"
my tears ricochet,"we gather here, we line up, weepin' in a sunlit room and if i'm on fire, you'll be made of ashes, too even on my worst day, did i deserve, babe all the hell you gave me? 'cause i loved you, i swear i loved you till my dying day i didn't have it in myself to go with grace and you're the hero flying around, saving face and if i'm dead to you, why are you at the wake? cursing my name, wishing i stayed look at how my tears ricochet we gather stones, never knowing what they'll mean some to throw, some to make a diamond ring you know i didn't want to have to haunt you but what a ghostly scene you wear the same jewels that i gave you as you bury me i didn't have it in myself to go with grace 'cause when i'd fight, you used to tell me i was brave and if i'm dead to you, why are you at the wake? cursing my name, wishing i stayed look at how my tears ricochet and i can go anywhere i want anywhere i want, just not home and you can aim for my heart, go for blood but you would still miss me in your bones and i still talk to you (when i'm screaming at the sky) and when you can't sleep at night (you hear my stolen lullabies) i didn't have it in myself to go with grace and so the battleships will sink beneath the waves you had to kill me, but it killed you just the same cursing my name, wishing i stayed you turned into your worst fears and you're tossing out blame, drunk on this pain crossing out the good years and you're cursing my name, wishing i stayed look at how my tears ricochet"
mirrorball,"i want you to know i'm a mirrorball i'll show you every version of yourself tonight i'll get you out on the floor shimmering beautiful and when i break, it's in a million pieces hush, when no one is around, my dear you'll find me on my tallest tip-toes spinning in my highest heels, love shining just for you hush, i know they said the end is near but i'm still on my tallest tip-toes spinning in my highest heels, love shining just for you i want you to know i'm a mirrorball i can change everything about me to fit in you are not like the regulars the masquerade revelers drunk as they watch my shattered edges glisten hush, when no one is around, my dear you'll find me on my tallest tip-toes spinning in my highest heels, love shining just for you hush, i know they said the end is near but i'm still on my tallest tip-toes spinning in my highest heels, love shining just for you and they called off the circus, burned the disco down when they sent home the horses and the rodeo clowns i'm still on that tightrope i'm still trying everything to get you laughing at me i'm still a believer, but i don't know why i've never been a natural, all i do is try, try, try i'm still on that trapeze i'm still trying everything to keep you looking at me because i'm a mirrorball i'm a mirrorball and i'll show you every version of yourself tonight"
seven,"please, picture me in the trees i hit my peak at seven feet in the swing over the creek i was too scared to jump in but i, i was high in the sky with pennsylvania under me are there still beautiful things? sweet tea in the summer cross your heart, won't tell no other and though i can't recall your face i still got love for you your braids like a pattern love you to the moon and to saturn passed down like folk songs the love lasts so long and i've been meaning to tell you i think your house is haunted your dad is always mad and that must be why and i think you should come live with me and we can be pirates then you won't have to cry or hide in the closet and just like a folk song our love will be passed on please, picture me in the weeds before i learned civility i used to scream ferociously any time i wanted i, i sweet tea in the summer cross my heart, won't tell no other and though i can't recall your face i still got love for you pack your dolls and a sweater we'll move to india forever passed down like folk songs our love lasts so long"
august,"salt air and the rust on your door i never needed anything more whispers of: are you sure? never have i ever before but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine your back beneath the sun wishing i could write my name on it will you call when you're back at school? i remember thinking i had you but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine back when we were still changing for the better wanting was enough for me, it was enough to live for the hope of it all cancel plans just in case you'd call and say: meet me behind the mall so much for summer love and saying us 'cause you weren't mine to lose you weren't mine to lose, oh but i can see us lost in the memory august slipped away into a moment in time 'cause it was never mine and i can see us twisted in bedsheets august sipped away like a bottle of wine 'cause you were never mine 'cause you were never mine never mine but do you remember? remember when i pulled up and said: get in the car and then canceled my plans just in case you'd call? back when i was livin' for the hope of it all, for the hope of it all meet me behind the mall (remember when i pulled up and said: get in the car) (and then canceled my plans just in case you'd call?) (back when i was livin' for the hope of it all, for the hope of it all) (meet me behind the mall) remember when i pulled up and said: get in the car and then canceled my plans just in case you'd call? back when i was livin' for the hope of it all (for the hope of it all) for the hope of it all, for the hope of it all (for the hope of it all, for the hope of it all)"
this is me trying,"i've been having a hard time adjusting i had the shiniest wheels, now they're rusting i didn't know if you'd care if i came back i have a lot of regrets about that pulled the car off the road to the lookout could've followed my fears all the way down and maybe i don't quite know what to say but i'm here in your doorway i just wanted you to know that this is me trying i just wanted you to know that this is me trying they told me all of my cages were mental so i got wasted like all my potential and my words shoot to kill when i'm mad i have a lot of regrets about that i was so ahead of the curve, the curve became a sphere fell behind all my classmates and i ended up here pouring out my heart to a stranger but i didn't pour the whiskey i just wanted you to know that this is me trying i just wanted you to know that this is me trying at least i'm trying and it's hard to be at a party when i feel like an open wound it's hard to be anywhere these days when all i want is you you're a flashback in a film reel on the one screen in my town and i just wanted you to know that this is me trying (and maybe i don't quite know what to say) i just wanted you to know that this is me trying at least i'm trying"
illicit affairs,"make sure nobody sees you leave hood over your head, keep your eyes down tell your friends you're out for a run you’ll be flushed when you return take the road less traveled by tell yourself you can always stop what started in beautiful rooms ends with meetings in parking lots and that's the thing about illicit affairs and clandestine meetings and longing stares it's born from just one single glance but it dies and it dies and it dies a million little times leave the perfume on the shelf that you picked out just for him so you leave no trace behind like you don’t even exist take the words for what they are a dwindling, mercurial high a drug that only worked the first few hundred times and that's the thing about illicit affairs and clandestine meetings and stolen stares they show their truth one single time but they lie and they lie and they lie a million little times and you wanna scream don't call me kid, don't call me baby look at this godforsaken mess that you made me you showed me colors you know i can't see with anyone else don't call me kid, don't call me baby look at this idiotic fool that you made me you taught me a secret language i can't speak with anyone else and you know damn well for you, i would ruin myself a million little times"
