Song,Lyrics
Lavender Haze,"staring at the ceiling with you oh, you don't ever say too much and you don't really read into my melancholia i been under scrutiny (yeah, oh, yeah) you handle it beautifully (yeah, oh, yeah) all this shit is new to me (yeah, oh, yeah) i feel the lavender haze creeping up on me surreal i'm damned if i do give a damn what people say no deal the 1950s shit they want from me i just wanna stay in that lavender haze (oh, oh, oh) (oh, oh, oh) (woah, woah, woah, woah, woah) all they keep asking me (all they keep asking me) is if i'm gonna be your bride the only kind of girl they see (the only kind of girl they see) is a one-night or a wife i find it dizzying (yeah, oh, yeah) they're bringing up my history (yeah, oh, yeah) but you weren't even listening (yeah, oh, yeah) i feel the lavender haze creeping up on me surreal i'm damned if i do give a damn what people say no deal the 1950s shit they want from me i just wanna stay in that lavender haze (oh, oh, oh) the lavender haze (oh, oh, oh) (woah, woah, woah, woah, woah) talk your talk and go viral (oh, oh, oh) i just need this love spiral (oh, oh, oh) get it off your chest (woah, woah, woah, woah) get it off my desk (get it off my desk) talk your talk and go viral (oh, oh, oh) i just need this love spiral (oh, oh, oh) get it off your chest get it off my desk i feel the lavender haze creeping up on me (i feel) surreal i'm damned if i do give a damn what people say no deal (no deal) the 1950s shit they want from me i just wanna stay in that lavender haze (oh, oh) (oh, oh, oh) (oh, oh, oh) get it off your chest (woah, woah, woah, woah) get it off my desk the lavender haze (oh, oh, oh) i just wanna stay (oh, oh, oh) i just wanna stay in that lavender haze"
Maroon,"when the morning came we were cleaning incense off your vinyl shelf 'cause we lost track of time again laughing with my feet in your lap like you were my closest friend how'd we end up on the floor, anyway? you say: your roommate's cheap-ass screw-top rosé, that's how i see you every day now and i chose you the one i was dancing with in new york, no shoes looked up at the sky and it was the burgundy on my t-shirt when you splashed your wine into me and how the blood rushed into my cheeks so scarlet, it was the mark they saw on my collarbone the rust that grew between telephones the lips i used to call home so scarlet, it was maroon when the silence came we were shaking, blind and hazy how the hell did we lose sight of us again? sobbing with your head in your hands ain't that the way shit always ends? you were standing hollow-eyed in the hallway carnations you had thought were roses, that's us i feel you, no matter what the rubies that i gave up and i lost you the one i was dancing with in new york, no shoes looked up at the sky and it was maroon the burgundy on my t-shirt when you splashed your wine into me and how the blood rushed into my cheeks so scarlet, it was (maroon) the mark they saw on my collarbone the rust that grew between telephones the lips i used to call home so scarlet, it was (maroon) and i wake with your memory over me that's a real fucking legacy, legacy (it was maroon) and i wake with your memory over me that's a real fucking legacy to leave the burgundy on my t-shirt when you splashed your wine into me and how the blood rushed into my cheeks so scarlet, it was maroon the mark they saw on my collarbone the rust that grew between telephones the lips i used to call home so scarlet, it was maroon"
Anti-Hero,"i have this thing where i get older, but just never wiser midnights become my afternoons when my depression works the graveyard shift all of the people i've ghosted stand there in the room i should not be left to my own devices they come with prices and vices i end up in crisis (tale as old as time) i wake up screaming from dreaming one day i'll watch as you're leaving 'cause you got tired of my scheming (for the last time) it's me, hi, i'm the problem, it's me at teatime, everybody agrees i'll stare directly at the sun, but never in the mirror it must be exhausting always rooting for the anti-hero sometimes i feel like everybody is a sexy baby and i'm a monster on the hill too big to hang out, slowly lurching toward your favorite city pierced through the heart, but never killed did you hear my covert narcissism lightly disguised as altruism like some kind of congressman? (tale as old as time) i wake up screaming from dreaming one day i'll watch as you're leaving and life will lose all of its meaning (for the last time) it's me, hi, i'm the problem, it's me (i'm the problem, it's me) at teatime, everybody agrees i'll stare directly at the sun, but never in the mirror it must be exhausting, always rooting for the anti-hero i have this dream my daughter-in-law kills me for the money she thinks i left them in the will the family gathers around and reads it and someone screams out she's laughing up at us from hell it's me, hi, i'm the problem, it's me it's me, hi, i'm the problem, it's me it's me, hi, everybody agrees, everybody agrees it's me, hi, i'm the problem, it's me (i'm the problem, it's me) at teatime, everybody agrees (everybody agrees) i'll stare directly at the sun, but never in the mirror it must be exhausting, always rooting for the anti-hero"
Snow On The Beach,"one night, a few moons ago i saw flecks of what could've been lights but it might just have been you passing by unbeknownst to me life is emotionally abusive and time can't stop me quite like you did and my flight was awful, thanks for asking i'm unglued, thanks to you and it's like snow at the beach weird, but fucking beautiful flying in a dream stars by the pocketful you wanting me tonight feels impossible but it's coming down no sound, it's all around like snow on the beach like snow on the beach like snow on the beach like snow, ah this scene feels like what i once saw on a screen i searched: aurora borealis green i've never seen someone lit from within blurring out my periphery my smile is like i won a contest and to hide that would be so dishonest and it's fine to fake it till you make it till you do, till it's true now it's like snow at the beach weird, but fucking beautiful flying in a dream stars by the pocketful you wanting me tonight feels impossible but it's coming down no sound, it's all around like snow on the beach like snow on the beach like snow on the beach like snow, ah i (i) can't (can't) speak, afraid to jinx it i (i) don't (don't) even dare to wish it but your eyes are flying saucers from another planet now i'm all for you like janet can this be a real thing? can it? are we falling like snow at the beach? (snow at the beach) weird, but fucking beautiful flying in a dream (flying in a dream) stars by the pocketful you wanting me (you wanting me) tonight feels impossible but it's coming down no sound, it's all around like snow on the beach (snow on the beach) like snow on the beach (snow on the beach) like snow on the beach (snow on the beach) like snow, ah it's coming down no sound, it's all around like snow on the beach (it's coming down, it's coming down) (it's coming down, it's coming down) like snow on the beach"
"You're On Your Own, Kid","summer went away, still, the yearning stays i play it cool with the best of them i wait patiently, he's gonna notice me it's okay, we're the best of friends anyway i hear it in your voice, you're smoking with your boys i touch my phone as if it's your face i didn't choose this town, i dream of getting out there's just one who could make me stay all my days from sprinkler splashes to fireplace ashes i waited ages to see you there i searched the party of better bodies just to learn that you never cared you're on your own, kid you always have been i see the great escape, so long, daisy mae i picked the petals, he loves me not something different bloomed, writing in my room i play my songs in the parking lot i'll run away from sprinkler splashes to fireplace ashes i called a taxi to take me there i searched the party of better bodies just to learn that my dreams aren't rare you're on your own, kid you always have been from sprinkler splashes to fireplace ashes i gave my blood, sweat, and tears for this i hosted parties and starved my body like i'd be saved by a perfect kiss the jokes weren't funny, i took the money my friends from home don't know what to say i looked around in a blood-soaked gown and i saw something they can't take away 'cause there were pages turned with the bridges burned everything you lose is a step you take so, make the friendship bracelets, take the moment and taste it you've got no reason to be afraid you're on your own, kid yeah, you can face this you're on your own, kid you always have been"
Midnight Rain,"my town was a wasteland full of cages, full of fences pageant queens and big pretenders but for some, it was paradise my boy was a montage a slow-motion, love potion jumping off things in the ocean i broke his heart 'cause he was nice he was sunshine, i was midnight (rain) (he wanted it comfortable, i wanted that pain) (he wanted a bride, i was making my own name) (chasing that fame, he stayed the same) (all of me changed like midnight) it came like a postcard picture perfect shiny family holiday peppermint candy but for him, it's every day so i peered through a window a deep portal, time travel all the love we unravel and the life i gave away 'cause he was sunshine, i was midnight rain he wanted it comfortable, i wanted that pain he wanted a bride, i was making my own name chasing that fame, he stayed the same all of me changed like midnight (rain) (he wanted it comfortable, i wanted that pain) (he wanted a bride, i was making my own name) (chasing that fame, he stayed the same) (all of me changed like midnight) i guess sometimes we all get just what we wanted, just what we wanted and he never thinks of me except for when i'm on tv i guess sometimes we all get some kind of haunted, some kind of haunted and i never think of him except on midnights like this (midnights like this, midnights like this)"
Question...?,"good girl, sad boy, big city, wrong choices we had one thing going on i swear that it was something, 'cause i don't remember who i was before you painted all my nights a color i've searched for since but one thing after another fucking situation circumstances, miscommunications and i have to say, by the way i just may like some explanations can i ask you a question? did you ever have someone kiss you in a crowded room? and every single one of your friends was making fun of you (you) but fifteen seconds latеr they were clapping, too? thеn, what did you do? did you leave her house in the middle of the night? (oh) did you wish you put up more of a fight? (oh) when she said it was too much, do you wish you could still touch her? it's just a question half-moon eyes, bad surprise, did you realize? out of time, she was on your mind with some dickhead guy that you saw that night but you were on something it was one drink after another, fucking politics and gender-roles and you're not sure, and i don't know got swept away in the gray i just may like to have a conversation can i ask you a question? did you ever have someone kiss you in a crowded room? and every single one of your friends was making fun of you (you) but fifteen seconds later they were clapping, too? then, what did you do? did you leave her house in the middle of the night? (oh) did you wish you put up more of a fight? (oh) when she said it was too much, do you wish you could still touch her? it's just a question does it feel like everything's just like second-best after that meteor strike? and what's that that i heard, that you're still with her? that's nice, i'm sure that's what's suitable and right, but tonight can i ask you a question? (can i ask you a question?) did you ever have someone kiss you in a crowded room? (in a crowded room) and every single one of your friends was making fun of you (making fun of you) but fifteen seconds later they were clapping, too? then what did you do? (do) did you leave her house in the middle of night? (oh) did you wish you put up more of a fight? (oh, more of a fight) when she said it was too much, do you wish you could still touch her? it's just a question"
Vigilante Shit,"draw the cat eye sharp enough to kill a man you did some bad things, but i'm the worst of them sometimes i wonder which one will be your last lie they say looks can kill, and i might try i don't dress for women, i don't dress for men lately, i've been dressing for revenge i don't start shit, but i can tell you how it ends don't get sad, get even so on the weekends, i don't dress for friends lately, i've been dressing for revenge she needed a cold, hard proof, so i gave her some she had the envelope, where you think she got it from? now she gets the house, gets the kids, gets the pride picture me, thick as thieves with your ex-wife and she looks so pretty driving in your benz lately, she's been dressing for revenge she don't start shit, but she can tell you how it ends don't get sad, get even so on the weekends, she don't dress for friends lately, she's been dressing for revenge ladies always rise above ladies know what people want someone sweet, and kind, and fun the lady simply had enough while he was doing lines and crossing all of mine someone told his white collar crimes to the fbi and i don't dress for villains or for innocents i'm on my vigilante shit again i don't start shit, but i can tell you how it ends don't get sad, get even so on the weekends, i don't dress for friends lately, i've been dressing for revenge"
Bejeweled,"baby love, i think i've been a little too kind didn't notice you walking all over my peace of mind in the shoes i gave you as a present puttin' someone first only works when you're in their top five and by the way, i'm going out tonight best believe i'm still bejeweled when i walk in the room i can still make the whole place shimmer and when i meet the band, they ask: do you have a man? i can still say: i don't remember familiarity breeds contempt, don't put me in the basement when i want the penthouse of your heart diamonds in my eyes, i polish up real, i polish up real nice nice! baby boy, i think i've been too good of a girl (too good of a girl) did all the extra credit, then got graded on a curve i think it's time to teach some lessons i made you my world (huh?), have you heard? (huh?) i can reclaim the land and i miss you (i miss you), but i miss sparkling (ah, hey) best believe i'm still bejeweled when i walk in the room i can still make the whole place shimmer and when i meet the band, they ask: do you have a man? i can still say: i don't remember familiarity breeds contempt, don't put me in the basement when i want the penthouse of your heart diamonds in my eyes, i polish up real, i polish up real nice nice! sapphire tears on my face, sadness became my whole sky (sky) but some guy said my aura's moonstone just 'cause he was high i been dancin' all night, and you can try to change my mind but you might have to wait in line what's a girl gonna do? a diamond's gotta shine best believe i'm still bejeweled when i walk in the room i can still make the whole place shimmer (shimmer) and when i meet the band, they ask: do you have a man? i can still say: i don't remember familiarity breeds contempt, don't put me in the basement when i want the penthouse of your heart diamonds in my eyes, i polish up real (nice), i polish up real nice i been dancin' all night, and you can try to change my mind but you might have to wait in line what's a girl gonna do? what's a girl gonna do? i polish up nice best believe i'm still bejeweled when i walk in the room i can still make the whole place shimmer"
Labyrinth,"it only hurts this much right now was what i was thinking the whole time breathe in, breathe through, breathe deep, breathe out i'll be getting over you my whole life you know how scared i am of elevators, never trusted it if it rises fast, it can't last oh, oh, i'm falling in love oh, no, i'm falling in love again oh, i'm falling in love i thought the plane was going down how'd you turn it right around? it only feels this raw right now lost in the labyrinth of my mind break up, break free, break through, break down you would break your back to make me break a smile you know how much i hate that everybody just expects me to bounce back just like that oh, oh, i'm falling in love oh, no, i'm falling in love again oh, i'm falling in love i thought the plane was going down how'd you turn it right around? oh, oh, i'm falling in love oh, no, i'm falling in love again oh, i'm falling in love i thought the plane was going down how'd you turn it right around? oh, oh, i'm falling in love oh, no, i'm falling in love again oh, i'm falling in love i thought the plane was going down how'd you turn it right around? oh, oh, i'm falling in love (falling in love) oh, no, i'm falling in love again (falling in love again) oh, i'm falling in love (falling in love) i thought the plane was going down how'd you turn it right around? you know how much i hate it you know how much i hate it you know how much i hate it"
