Song,Lyrics
Welcome To New York ‎ ,"walking through a crowd, the village is aglow kaleidoscope of loud heartbeats under coats everybody here wanted something more searching for a sound we hadn't heard before and it said welcome to new york it's been waiting for you welcome to new york welcome to new york welcome to new york it's been waiting for you welcome to new york welcome to new york it's a new soundtrack, i could dance to this beat, beat forever more the lights are so bright, but they never blind me, me welcome to new york it's been waiting for you welcome to new york welcome to new york when we first dropped our bags on apartment floors took our broken hearts, put them in a drawer everybody here was someone else before and you can want who you want boys and boys and girls and girls welcome to new york it's been waiting for you welcome to new york welcome to new york welcome to new york it's been waiting for you welcome to new york welcome to new york it's a new soundtrack, i could dance to this beat, beat forever more the lights are so bright, but they never blind me, me welcome to new york (new york) it's been waiting for you welcome to new york welcome to new york like any great love, it keeps you guessing like any real love, it's ever changing like any true love, it drives you crazy but you know you wouldn't change anything, anything, anything welcome to new york it's been waiting for you welcome to new york welcome to new york welcome to new york it's been waiting for you welcome to new york welcome to new york it's a new soundtrack, i could dance to this beat the lights are so bright, but they never blind me (welcome to new york) new soundtrack (it's been waiting for you) (welcome to new york) the lights are so bright, but they never blind me (welcome to new york) so bright, they never blind me (welcome to new york) welcome to new york"
Blank Space ‎ ,"nice to meet you, where you been? i could show you incredible things magic, madness, heaven, sin saw you there and i thought oh, my god, look at that face! you look like my next mistake love's a game, wanna play? new money, suit and tie i can read you like a magazine ain't it funny? rumors fly and i know you heard about me so hey, let's be friends i'm dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young and we're reckless we'll take this way too far it'll leave you breathless or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space, baby and i'll write your name cherry lips, crystal skies i could show you incredible things stolen kisses, pretty lies you're the king, baby, i'm your queen find out what you want be that girl for a month wait, the worst is yet to come, oh no screaming, crying, perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessing like oh, my god, who is she? i get drunk on jealousy but you'll come back each time you leave 'cause, darling, i'm a nightmare dressed like a daydream so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young and we're reckless we'll take this way too far it'll leave you breathless or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space, baby and i'll write your name boys only want love if it's torture don't say i didn't say, i didn't warn ya boys only want love if it's torture don't say i didn't say, i didn't warn ya so it's gonna be forever or it's gonna go down in flames? you can tell me when it's over if the high was worth the pain got a long list of ex-lovers they'll tell you i'm insane 'cause you know i love the players and you love the game 'cause we're young and we're reckless we'll take this way too far it'll leave you breathless or with a nasty scar got a long list of ex-lovers they'll tell you i'm insane but i've got a blank space, baby and i'll write your name"
Style ‎ ,"midnight you come and pick me up, no headlights a long drive could end in burning flames or paradise fade into view, oh it's been a while since i have even heard from you (heard from you) and i should just tell you to leave, 'cause i know exactly where it leads, but i watch us go 'round and 'round each time you got that james dean daydream look in your eye and i got that red lip, classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style we never go out of style you got that long hair, slicked back, white t-shirt and i got that good girl faith and a tight little skirt and when we go crashing down, we come back every time 'cause we never go out of style we never go out of style so it goes he can't keep his wild eyes on the road takes me home the lights are off, he's taking off his coat i say: i heard, oh that you've been out and about with some other girl (some other girl) he says: what you heard is true, but i can't stop thinking about you, and i i said: i've been there too, a few times 'cause you got that james dean daydream look in your eye and i got that red lip, classic thing that you like and when we go crashing down, we come back every time 'cause we never go out of style we never go out of style you got that long hair, slicked back, white t-shirt and i got that good girl faith and a tight little skirt (a tight little skirt) and when we go crashing down, we come back every time 'cause we never go out of style (we never go, we never go) we never go out of style take me home just take me home yeah, just take me home oh, oh, oh (out of style) you got that james dean daydream look in your eye and i got that red lip, classic thing that you like and when we go crashing down, we come back every time (and when we go) 'cause we never go out of style we never go out of style"
Out Of The Woods ‎ ,"looking at it now it all seems so simple we were lying on your couch i remember you took a polaroid of us then discovered (then discovered) the rest of the world was black and white but we were in screaming color and i remember thinking are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good (are we out of the woods?) looking at it now last december (last december) we were built to fall apart then fall back together (back together) ooh, your necklace hanging from my neck the night we couldn't quite forget when we decided (we decided) to move the furniture so we could dance baby, like we stood a chance two paper airplanes flying, flying, flying and i remember thinking are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? (oh) are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good (are we out of the woods?) remember when you hit the brakes too soon? twenty stitches in the hospital room when you started crying, baby, i did too but when the sun came up, i was looking at you remember when we couldn't take the heat? i walked out, i said: i'm setting you free but the monsters turned out to be just trees when the sun came up, you were looking at me you were looking at me, oh you were looking at me (are we out of the woods yet? are we out of the woods yet?) (are we out of the woods yet? are we out of the woods?) i remember (are we in the clear yet? are we in the clear yet?) (are we in the clear yet? in the clear yet? good) oh, i remember are we out of the woods yet? are we out of the woods yet? (yeah, yeah) are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? (say, are we?) are we in the clear yet? in the clear yet? good are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? (yeah) are we in the clear yet? (yeah) are we in the clear yet? in the clear yet? good (clear yet? good) are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good (do you remember?) are we out of the woods yet? are we out of the woods yet? are we out of the woods yet? are we out of the woods? are we in the clear yet? are we in the clear yet? are we in the clear yet? in the clear yet? good"
All You Had To Do Was Stay ‎ ,"people like you always want back the love they gave away and people like me wanna believe you when you say you've changed the more i think about it now the less i know all i know is that you drove us off the road (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late well, could've been easy all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was stay here you are now, calling me up but i don't know what to say i've been picking up the pieces of the mess you made people like you always want back the love they pushed aside but people like me are gone forever when you say: goodbye (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late well, could've been easy all you had to do was (stay) all you had to do was (stay) all you had to do was (stay) all you had to do was (stay, stay, stay) let me remind you: this was what you wanted (oh-oh-oh) you ended it you were all i wanted (oh-oh-oh) but not like this not like this not like this oh, all you had to do was (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late well, could've been easy all you had to do was (stay) hey, all you had to do was stay had me in the palm of your hand, then why'd you have to go and lock me out when i let you in? (stay) hey, now you say you want it back now that it's just too late well, it could've been easy (all you had to do was stay) all you had to do was (stay)"
Shake It Off ‎ ,"i stay out too late got nothing in my brain that's what people say, hm, hm that's what people say, hm, hm i go on too many dates but i can't make them stay at least that's what people say, hm, hm that's what people say, hm, hm but i keep cruising can't stop, won't stop moving it's like i got this music in my mind, saying it's gonna be alright 'cause the players gonna play (play, play, play, play) and the haters gonna hate (hate, hate, hate, hate) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off heartbreakers gonna break (break, break, break, break) and the fakers gonna fake (fake, fake, fake, fake) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off i never miss a beat i'm lightning on my feet and that's what they don't see, hm, hm that's what they don't see, hm, hm i'm dancing on my own (dancing on my own) i make the moves up as i go (moves up as i go) and that's what they don't know, hm, hm that's what they don't know, hm, hm but i keep cruising can't stop, won't stop grooving it's like i got this music in my mind, saying it's gonna be alright 'cause the players gonna play (play, play, play, play) and the haters gonna hate (hate, hate, hate, hate) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off heartbreakers gonna break (break, break, break, break) and the fakers gonna fake (fake, fake, fake, fake) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off i, i, i shake it off, i shake it off hey, hey, hey! just think while you've been getting down and out about the liars and the dirty, dirty cheats of the world you could've been getting down to this sick beat my ex-man brought his new girlfriend and she's like: oh my god but i'm just gonna shake and to the fella over there with the hella good hair won't you come on over, baby? we can shake, shake, shake yeah, oh! 'cause the players gonna play (play, play, play, play) and the haters gonna hate (hate, hate, hate, hate) (haters gonna hate) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off heartbreakers gonna break (break, break, break, break) and the fakers gonna fake (fake, fake, fake, fake) baby, i'm just gonna shake (shake, shake, shake, shake) i shake it off, i shake it off"
I Wish You Would ‎ ,"it's 2 am in your car windows down, you pass my street the memories start you say it's in the past you drive straight ahead you're thinking that i hate you now 'cause you still don't know what i never said i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live, and i wish you were right here, right now, it's all good i wish you would it's 2 am in my room headlights pass the window pane i think of you we're a crooked love in a straight line down makes you want to run and hide but it makes you turn right back around i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live, and i wish you were right here, right now, it's all good i wish you would i wish we could go back and remember what we were fighting for, and i wish you knew that i miss you too much to be mad anymore, and i wish you were right here, right now, it's all good i wish you would i, i, i, i, i, i wish i, wish i i, i, i, i, i, i wish i, wish i i, i, i, i, i, i wish i, wish i you always knew how to push my buttons you give me everything and nothing this mad, mad love makes you come running to stand back where you stood i wish you would, i wish you would (i wish you would, i wish you would) i wish you would, i wish you would (i wish you would, i wish you would) (i, i, i, i, i, i wish i, wish i) 2 am here we are see your face hear my voice in the dark we're a crooked love in a straight line down makes you wanna run and hide but it made us turn right back around i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live, and i wish you were right here, right now, it's all good i wish you would i wish you would come back wish i never hung up the phone like i did, i wish you knew that i'd never forget you as long as i live, and i wish you were right here, right now, it's all good i wish you would i wish we could go back and remember what we were fighting for, and i wish you knew that i miss you too much to be mad anymore, and i wish you were right here, right now, it's all good i wish you would you always knew how to push my buttons you give me everything and nothing this mad, mad love makes you come running to stand back where you stood i wish you would, i wish you would (i wish you would, i wish you would) i wish you would, i wish you would (i wish you would, i wish you would, i wish you would)"
Bad Blood ‎ ,"cause, baby, now we got bad blood you know, it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey did you have to do this? i was thinking that you could be trusted did you have to ruin what was shining? now, it's all rusted did you have to hit me where i'm weak? baby, i couldn't breathe and rub it in so deep salt in the wound, like you're laughing right at me oh, it's so sad to think about the good times you and i 'cause, baby, now we got bad blood you know, it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey did you think we'd be fine? still got scars on my back from your knife so don't think it's in the past these kinda wounds, they last, and they last now, did you think it all through? all these things will catch up to you and time can heal, but this won't so if you're coming my way, just don't oh, it's so sad to think about the good times you and i 'cause, baby, now we got bad blood you know, it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey band-aids don't fix bullet holes you say sorry just for show if you live like that, you live with ghosts band-aids don't fix bullet holes you say sorry just for show if you live like that, you live with ghosts if you love like that, blood runs cold 'cause, baby, now we got bad blood you know, it used to be mad love so take a look what you've done 'cause, baby, now we got bad blood, hey now we got problems and i don't think we can solve 'em (think we can solve 'em) you made a really deep cut and, baby, now we got bad blood, hey 'cause, baby, now we got bad blood ('cause now we got bad blood) you know, it used to be mad love so take a look what you've done (look what you've done) 'cause, baby, now we got bad blood, hey (ooh, woah) now we got problems and i don't think we can solve 'em you made a really deep cut and, baby, now we got bad blood, hey"
Wildest Dreams ‎ ,"he said: let's get out of this town drive out of the city away from the crowds i thought: heaven can't help me now nothing lasts forever but this is gonna take me down he's so tall and handsome as hell he's so bad, but he does it so well i can see the end as it begins my one condition is say you'll remember me standing in a nice dress staring at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your wildest dreams, ah, ah, aah wildest dreams, ah, ah, aah i said: no one has to know what we do his hands are in my hair his clothes are in the room and his voice is a familiar sound nothing lasts forever but this is getting good now he's so tall and handsome as hell he's so bad, but he does it so well and when we've had our very last kiss my last request, it is say you'll remember me standing in a nice dress staring at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your wildest dreams, ah, ah, aah (aah) wildest dreams, ah, ah, aah you'll see me in hindsight tangled up with you all night burning it down someday, when you leave me i bet these memories follow you around you'll see me in hindsight tangled up with you all night burning (burning) it (it) down (down) someday, when you leave me i bet these memories follow (follow) you (you) around (around) (follow you around) say you'll remember me standing in a nice dress staring at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just pretend say you'll remember me standing in a nice dress staring at the sunset, babe red lips and rosy cheeks say you'll see me again even if it's just in your (just pretend, just pretend) wildest dreams, ah, ah, aah (aah) wildest dreams, ah, ah, aah even if it's just in your wildest dreams, ah, ah, aah in your wildest dreams, ah, ah, aah"
How You Get The Girl ‎ ,"stand there like a ghost shaking from the rain, rain she'll open up the door and say: are you insane? say it's been a long six months and you were too afraid to tell her what you want, want and that's how it works that's how you get the girl and then you say i want you for worse or for better i would wait forever and ever broke your heart, i'll put it back together i would wait forever and ever and that's how it works, that's how you get the girl, girl (oh) and that's how it works, that's how you get the girl, girl remind her how it used to be, be yeah, yeah of pictures in frames of kisses on cheeks, cheeks tell her how you must have lost your mind, ooh when you left her all alone and never told her why, why and that's how it works that's how you lost the girl and now you say i want you for worse or for better i would wait forever and ever (ever and ever) broke your heart, i'll put it back together i would wait forever and ever (forever and ever) and that's how it works, that's how you get the girl, girl (oh) and that's how it works, that's how you get the girl, girl yeah, yeah and you know, oh-oh-oh-oh, oh-oh-oh-oh that i don't want you to go, oh-oh remind me how it used to be pictures in frames of kisses on cheeks and say you want me yeah, yeah (and then you say) i want you for worse or for better (worse or for better) i would wait forever and ever (ever and ever) broke your heart, i'll put it back together i want you forever and ever (i would wait forever and ever) and that's how it works, that's how you get the girl, girl (that's how it works) and that's how it works, that's how you get the girl, girl (get the girl) (that's how it works) and that's how it works, that's how you get the girl, girl and that's how it works, that's how you get the girl, girl and that's how it works that's how you got the girl"
This Love ‎ ,"clear blue water high tide came and brought you in and i could go on and on, on and on and i will skies grew darker currents swept you out again and you were just gone and gone gone and gone in silent screams in wildest dreams i never dreamed of this this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh oh, oh tossing, turning struggled through the night with someone new baby, i could go on and on on and on lantern, burning flickered in my mind for only you but you were still gone gone, gone in losing grip on sinking ships you showed up just in time this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh this love left a permanent mark this love is glowing in the dark, oh these hands had to let it go free and this love came back to me, oh this love (this love, this love, this love) this love (this love, this love, this love) this love (this love, this love, this love) this love (this love, this love, this love) your kiss, my cheek i watched you leave your smile, my ghost i fell to my knees when you're young you just run but you come back to what you need this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh (this love) this love left a permanent mark (this love) this love is glowing in the dark, oh (this love) these hands had to let it go free (this love) and this love came back to me, oh this love (this love, this love, this love, oh) this love (this love, this love, this love, oh) this love (this love, this love, this love) (this love) this love came back to me, oh"
I Know Places ‎ ,"you stand with your hand on my waistline it's a scene and we're out here in plain sight i can hear them whisper as we pass by it's a bad sign, bad sign something happens when everybody finds out see the vultures circling, dark clouds love's a fragile little flame it could burn out, it could burn out 'cause they got the cages, they got the boxes and guns they are the hunters, we are the foxes and we run baby i know places we won't be found and they'll be chasing their tails trying to track us down, 'cause i i know places we can hide i know places i know places lights flash and we'll run for the fences let them say what they want, we won't hear it loose lips sink ships all the damn time not this time (i, i, i, i) just grab my hand and don't ever drop it my love they are the hunters, we are the foxes and we run baby (baby) i know places we won't be found and they'll (they'll) be (be) chasing their tails trying to track us down 'cause i i know places we can hide i know places they are the hunters, we are the foxes and we run just grab my hand and don't ever drop it my love baby (baby) i know places we won't be found and they'll (they'll) be (be) chasing their tails trying to track us down 'cause i i know places we can hide i know places (i) they take their shots, but we're bulletproof (i know places) (hide) and you know, for me, it's always you (i know places) (i) in the dead of night, your eyes so green (i know places) (hide) and i know, for you, it's always me (i know places)"
Clean ‎ ,"the drought was the very worst ah, ah when the flowers that we'd grown together died of thirst it was months and months of back and forth ah, ah you're still all over me like a wine-stained dress i can't wear anymore hung my head as i lost the war and the sky turned black like a perfect storm the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean there was nothing left to do ah, ah when the butterflies turned to dust that covered my whole room so i punched a hole in the roof ah, ah let the flood carry away all my pictures of you the water filled my lungs i screamed so loud, but no one heard a thing the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean i think i am finally clean ah said i think i am finally clean ah ten months sober, i must admit just because you're clean don't mean you don't miss it ten months older, i won't give in now that i'm clean, i'm never gonna risk it the drought was the very worst ah, ah when the flowers that we'd grown together died of thirst the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean finally clean think i'm finally clean ah, ah think i'm finally clean"
