Song,‎Lyrics
State of Grace ‎‎‎‎ ,"i'm walking fast through the traffic lights busy streets and busy lives and all we know is touch and go we are alone with our changing minds we fall in love 'til it hurts or bleeds or fades in time and i never (never) saw you coming and i'll never (never) be the same you come around and the armor falls pierce the room like a cannonball now all we know is don't let go we are alone, just you and me up in your room and our slates are clean just twin fire signs four blue eyes so you were never a saint and i've loved in shades of wrong we learn to live with the pain mosaic broken hearts but this love is brave and wild and i never (never) saw you coming and i'll never (never) be the same this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right these are the hands of fate you're my achilles heel this is the golden age of something good and right and real and i never (never) saw you coming and i'll never be the same and i never (never) saw you coming and i'll never (so you were never a saint and i've loved in shades of wrong) be the same (we learn to live with the pain, mosaic broken hearts) (but this love is brave and wild) this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right"
Red ‎‎‎‎ ,"loving him is like driving a new maserati down a dead end street faster than the wind, passionate as sin ending so suddenly loving him is like trying to change your mind once you're already flying through the free fall like the colours in autumn, so bright just before they lose it all losing him was blue, like i'd never known missing him was dark gray, all alone forgetting him was like trying to know somebody you never met but loving him was red (red, red, red, red) loving him was red (red, red, red, red) touching him was like realizing all you ever wanted was right there in front of you memorizing him was as easy as knowing all the words to your old favorite song fighting with him was like trying to solve a crossword and realizing there's no right answer regretting him was like wishing you'd never found out that love could be that strong losing him was blue, like i'd never known missing him was dark gray, all alone forgetting him was like trying to know somebody you never met but loving him was red (red, red) oh, red (red, red) burning red (red, red, red, red) remembering him comes in flashbacks and echoes tell myself it's time now, gotta let go but moving on from him is impossible when i still see it all in my head in burning red burning, it was red oh, losing him was blue, like i'd never known missing him was dark gray, all alone forgetting him was like trying to know somebody you never met 'cause loving him was red (red, red) yeah, yeah, red (red, red) oh, burning red (red, red, red, red) and that's why he's spinning 'round in my head comes back to me burning red (red, red) yeah, yeah (red, red) his love was like driving a new maserati down a dead end street"
Treacherous ‎‎‎‎ ,"put your lips close to mine as long as they don't touch out of focus, eye to eye till the gravity's too much and i'll do anything you say if you say it with your hands and i'd be smart to walk away but you're quicksand this slope is treacherous this path is reckless this slope is treacherous and i, i, i like it i can't decide if it's a choice getting swept away i hear the sound of my own voice asking you to stay all we are is skin and bone trained to get along forever going with the flow but you're friction this slope is treacherous this path is reckless this slope is treacherous i, i, i like it two headlights shine through the sleepless night and i will get you a—, get you alone your name has echoed through my mind and i just think you should, think you should know that nothing safe is worth the drive and i will follow you, follow you home i'll follow you, follow you home this hope is treacherous this daydream is dangerous this hope is treacherous i, i, i i, i, i i, i, i two headlights shine through the sleepless night and i will get you a, get you alone your name has echoed through my mind and i just think you should, think you should know that nothing safe is worth the drive and i will follow you, follow you home i'll follow you, follow you home i'll follow you, follow you home i'll follow you, follow you home this slope is treacherous i, i, i like it"
I Knew You Were Trouble ‎‎‎‎ ,"once upon time a few mistakes ago i was in your sights you got me alone you found me you found me you found me i guess you didn't care and i guess i liked that and when i fell hard you took a step back without me without me without me and he's long gone when he's next to me and i realize the blame is on me 'cause i knew you were trouble when you walked in so shame on me now flew me to places i'd never been 'till you put me down, oh i knew you were trouble when you walked in so shame on me now flew me to places i'd never been now i'm lying on the cold hard ground oh, oh trouble, trouble, trouble oh, oh trouble, trouble, trouble no apologies he'll never see you cry pretend he doesn't know that he's the reason why you're drowning you're drowning you're drowning and i heard you moved on from whispers on the street a new notch in your belt is all i'll ever be and now i see now i see now i see he was long gone when he met me and i realize the joke is on me, hey! i knew you were trouble when you walked in so shame on me now flew me to places i'd never been 'till you put me down, oh i knew you were trouble when you walked in so shame on me now flew me to places i'd never been (yeah) now i'm lying on the cold hard ground oh, oh (yeah) trouble, trouble, trouble oh, oh trouble, trouble, trouble and the saddest fear comes creeping in that you never loved me or her, or anyone, or anything yeah! i knew you were trouble when you walked in so shame on me now flew me to places i'd never been (i'd never been) 'till you put me down, oh i knew you were trouble when you walked in so shame on me now flew me to places i'd never been now i'm lying on the cold hard ground oh, oh trouble, trouble, trouble oh, oh trouble, trouble, trouble i knew you were trouble when you walked in trouble, trouble, trouble i knew you were trouble when you walked in trouble, trouble, trouble"
22 ‎‎‎‎ ,"it feels like a perfect night to dress up like hipsters and make fun of our exes ah, ah, ah, ah it feels like a perfect night for breakfast at midnight to fall in love with strangers ah, ah, ah, ah yeah we're happy, free, confused and lonely at the same time it's miserable and magical oh, yeah tonight's the night when we forget about the deadlines it's time, oh, oh i don't know about you but i'm feeling twenty-two everything will be alright if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're twenty-two, ooh, ooh twenty-two, ooh, ooh, ooh it seems like one of those nights this place is too crowded too many cool kids ah, ah, ah, ah (who's taylor swift anyway? ew) it seems like one of those nights we ditch the whole scene and end up dreaming instead of sleeping yeah we're happy, free, confused and lonely in the best way it's miserable and magical oh, yeah tonight's the night when we forget about the heartbreaks it's time, oh, oh i don't know about you but i'm feeling twenty-two everything will be alright if you keep me next to you you don't know about me but i'll bet you want to everything will be alright if we just keep dancing like we're twenty-two, ooh, ooh twenty-two, ooh, ooh, ooh (i don't know about you) twenty-two, ooh, ooh twenty-two, ooh, ooh, ooh (it feels like one of those nights) we ditch the whole scene (it feels like one of those nights) we won't be sleeping (it feels like one of those nights) you look like bad news i gotta have you i gotta have you ooh, ooh eh, eh, eh, yeah i don't know about you but i'm feeling twenty-two everything will be alright if you keep me next to you you don't know about me (you don't know about me) but i'll bet you want to everything will be alright if we just keep dancing like we're (dance like we're twenty-two) twenty-two, ooh, ooh twenty-two, ooh, ooh, ooh (dancing like) twenty-two, ooh, ooh (yeah, yeah, eh, yeah, yeah, eh) twenty-two, ooh, ooh, ooh (it feels like one of those nights) we ditch the whole scene (it feels like one of those nights) we won't be sleeping (it feels like one of those nights) you look like bad news i gotta have you i gotta have you"
I Almost Do ‎‎‎‎ ,"i bet this time of night you’re still up i bet you’re tired from a long hard week i bet you’re sittin’ in your chair by the window looking out at the city and i bet sometimes you wonder about me and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don’t i almost do, i almost do i bet you think i either moved on or hate you ‘cause each time you reach out there’s no reply i bet it never, ever occurred to you that i can’t say hello to you and risk another goodbye and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don’t i almost do, i almost do we made quite a mess, babe it’s probably better off this way and i confess, babe in my dreams, you’re touching my face and asking me if i'd want to try again with you and i almost do and i just want to tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that everytime i don’t i almost do, i almost do i bet this time of night you’re still up i bet you’re tired from a long hard week i bet you’re sittin’ in your chair by the window looking out at the city and i hope sometimes you wonder about me"
We Are Never Ever Getting Back Together ‎‎‎‎ ,"i remember when we broke up, the first time saying: this is it, i’ve had enough! ‘cause, like we hadn’t seen each other in a month when you said you needed space (what?) then you come around again and say: baby i miss you and i swear i'm gonna change, trust me remember how that lasted for a day? i say: i hate you, we break up, you call me, i love you ooh, ooh, ooh, ooh, ooh we called it off again last night, but ooh, ooh, ooh, ooh, ooh this time, i'm telling you, i'm telling you we are never, ever, ever getting back together we are never, ever, ever getting back together you go talk to your friends talk to my friends, talk to me but we are never, ever, ever, ever getting back together like, ever! i'm really gonna miss you picking fights, and me falling for it, screaming that i'm right, and you would hide away and find your peace of mind with some indie record that’s much cooler than mine ooh, ooh, ooh, ooh, ooh you called me up again tonight, but ooh, ooh, ooh, ooh, ooh this time, i'm telling you, i'm telling you we are never, ever, ever getting back together we are never, ever, ever getting back together you go talk to your friends talk to my friends, talk to me but we are never, ever, ever, ever getting back together ooh, yeah, ooh, yeah ooh, yeah, oh, oh, oh i used to think that we were forever, ever and i used to say: never say never ugh, so he calls me up and he’s like: i still love you and i'm like, i'm just yeah, i mean, this is exhausting, you know? like, we are never getting back together like, ever! no we are never, ever, ever getting back together we are never, ever, ever getting back together you go talk to your friends talk to my friends, talk to me but we are never, ever, ever, ever getting back together (we) getting back together (ooh, ooh, ooh) (we) getting back together (ooh, ooh, ooh) you go talk to your friends talk to my friends, talk to me (talk to me) but we are never, ever, ever, ever getting back together"
Stay Stay Stay ‎‎‎‎ ,"i'm pretty sure we almost broke up last night i threw my phone across the room, at you i was expecting some dramatic turn away but you stayed this morning i said we should talk about it 'cause i read you should never leave a fight unresolved that's when you came in wearing a football helmet and said: okay, let's talk! and i said stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay before you, i'd only dated self-indulgent takers who took all of their problems out on me but you carry my groceries, and now i'm always laughing and i love you because you have given me no choice but to stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay, stay, stay, stay you took the time to memorize me my fears, my hopes and dreams i just like hanging out with you all the time all those times that you didn't leave it's been occurring to me i'd like to hang out with you for my whole life stay and i'll be loving you for quite some time no one else is gonna love me when i get mad, mad, mad so i think that it's best if we both stay, stay, stay stay, stay, stay stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay, stay, stay stay, stay, stay stay, stay, stay i've been loving you for quite some time, time, time you think that it's funny when i'm mad, mad, mad but i think that it's best if we both stay that's so fun!"
The Last Time ‎‎‎‎ ,"i find myself at your door just like all those times before i'm not sure how i got there all roads, they lead me here i imagine you are home in your room, all alone and you open your eyes into mine and everything feels better and right before your eyes i'm breaking no past, no reasons why just you and me this is the last time i'm asking you this put my name at the top of your list this is the last time i'm asking you why you break my heart in the blink of an eye, eye, eye you find yourself at my door and just like all those times before you wear your best apology but i was there to watch you leave and all the times i let you in just for you to go again disappear when you come back everything is better and right before your eyes i'm aching no past, nowhere to hide just you and me this is the last time i'm asking you this put my name at the top of your list this is the last time i'm asking you why you break my heart in the blink of an eye, eye, eye this is the last time you tell me i've got it wrong this is the last time i say: it's been you all along this is the last time i let you in my door this is the last time, i won't hurt you anymore oh, oh this is the last time i'm asking you this put my name at the top of your list this is the last time i'm asking you why you break my heart in the blink of an eye this is the last time i'm asking you this (this is the last time i'm asking you this) put my name at the top of your list (put my name at the top of your list) this is the last time i'm asking you why (this is the last time i'm asking you why) you break my heart in the blink of an eye (you break my heart) this is the last time i'm asking you last time i'm asking you last time i'm asking you this this is the last time i'm asking you last time i'm asking you last time i'm asking you this this is the last time i'm asking you last time i'm asking you last time i'm asking you this this is the last time i'm asking you last time i'm asking you last time i'm asking you this"
Holy Ground ‎‎‎‎ ,"i was reminiscing just the other day while having coffee all alone and, lord, it took me away back to a first-glance feeling on new york time back when you fit in my poems like a perfect rhyme took off faster than a green light, go yeah, you skip the conversation when you already know i left a note on the door with a joke we'd made and that was the first day and, darling, it was good never looking down and right there where we stood was holy ground spinning like a girl in a brand new dress we had this big wide city all to ourselves we block the noise with the sound of: i need you and for the first time i had something to lose and i guess we fell apart in the usual way and the story’s got dust on every page but sometimes i wonder how you think about it now and i see your face in every crowd 'cause, darling, it was good never looking down and right there where we stood was holy ground tonight, i'm gonna dance for all that we've been through but i don't want to dance if i'm not dancing with you tonight, i'm gonna dance like you were in this room but i don't want to dance if i'm not dancing with you it was good never looking down and right there where we stood was holy ground tonight i'm gonna dance for all that we've been through but i don't want to dance if i'm not dancing with you tonight i'm gonna dance like you were in this room but i don't want to dance if i'm not dancing with you"
