Song,Lyrics
The Fate of Ophelia,"i heard you calling on the megaphone you wanna see me all alone as legend has it, you are quite the pyro you light the match to watch it blow and if you'd never come for me i might've drowned in the melancholy i swore my loyalty to me (me), myself (myself) and i (i) right before you lit my sky up (all that time) i sat alone in my tower you were just honing your powers now i can see it all (see it all) (late one night) you dug me out of my grave and saved my heart from the fate of ophelia (ophelia) keep it one hundred on the land (land), the sea (sea), the sky pledge allegiance to your hands, your team, your vibes don't care where the hell you been (been) 'cause now (now) you're mine it's 'bout to be the sleepless night you've been dreaming of the fate of ophelia the eldest daughter of a nobleman ophelia lived in fantasy but love was a cold bed full of scorpions the venom stole her sanity (yeah) and if you'd never come for me (come for me) i might've lingered in purgatory you wrap around me like a chain (chain), a crown (crown), a vine (vine) pulling me into the fire (all that time) i sat alone in my tower you were just honing your powers now i can see it all (see it all) (late one night) you dug me out of my grave and saved my heart from the fate of ophelia (ophelia) keep it one hundred on the land (land), the sea (sea), the sky pledge allegiance to your hands, your team, your vibes don't care where the hell you been (been) 'cause now (now) you're mine it's 'bout to be the sleepless night you've been dreaming of the fate of ophelia 'tis locked inside my memory and only you possess the key no longer drowning and deceived all because you came for me locked inside my memory and only you possess the key no longer drowning and deceived all because you came for me (all that time) i sat alone in my tower you were just honing your powers now i can see it all (see it all) (late one night) you dug me out of my grave and saved my heart from the fate of ophelia (ophelia) keep it one hundred on the land (land), the sea (sea) (the sea), the sky pledge allegiance to your hands (your hands), your team, your vibes don't care where the hell you been (been) (you've been) 'cause now (now) ('cause now) you're mine it's 'bout to be the sleepless night you've been dreaming of the fate of ophelia you saved my heart from the fate of ophelia"
Elizabeth Taylor,"elizabeth taylor do you think it's forever? that view of portofino was on my mind when you called me at the plaza athénée ooh-ooh, oftentimes it doesn't feel so glamorous to be me all the right guys promised they'd stay under bright lights, they withered away, but you bloom portofino was on my mind (and i think you know why) and if your letters ever said: goodbye i'd cry my eyes violet elizabeth taylor, tell me for real do you think it's forever? been number one but i never had two and i can't have fun if i can't have (uh) be my ny when hollywood hates me you're only as hot as your last hit, baby been number one but i never had two and i can't have fun if i can't have you hey, what could you possibly get for the girl who has everything and nothing all at once? babe, i would trade the cartier for someone to trust (just kidding) we hit the best booth at musso & frank's they say i'm bad news, i just say: thanks and you look at me like you're hypnotized and i think you know why and if you ever leave me high and dry i'd cry my eyes violet elizabeth taylor, tell me for real do you think it's forever? been number one but i never had two and i can't have fun if i can't have (uh) be my ny when hollywood hates me you're only as hot as your last hit, baby been number one but i never had two and i can't have fun if i can't have (uh) you elizabeth taylor (oh-oh) do you think it's forever? if i can't have you all my white diamonds and lovers are forever in the papers, on the screen and in their minds all my white diamonds and lovers are forever don't you ever end up anything but mine i'd cry my eyes violet elizabeth taylor, tell me for real do you think it's forever? been number one but i never had two and i can't have fun if i can't have (uh) be my ny when hollywood hates me you're only as hot as your last hit, baby been number one but i never had two and i can't have fun if i can't have you (all my white diamonds and lovers are forever) elizabeth taylor (in the papers, on the screen and in their minds) do you think it's forever? all my white diamonds and lovers are forever don't you ever end up anything but mine, oh-oh-oh"
Opalite,"i had a bad habit of missing lovers past my brother used to call it eating out of the trash it's never gonna last i thought my house was haunted i used to live with ghosts and all the perfect couples said: when you know, you know and: when you don't, you don't and all of the foes, and all of the friends (ha-ha) have seen it before, they'll see it again (ha-ha) life is a song, it ends when it ends i was wrong but my mama told me it's alright you were dancing through the lightning strikes sleepless in the onyx night but now the sky is opalite oh-oh, oh, oh, oh, oh, my lord never made no one like you before you had to make your own sunshine but now the sky is opalite oh-oh, oh, oh, oh you couldn't understand it why you felt alone you were in it for real she was in her phone and you were just a pose and don't we try to love love? (love love) we give it all we got (give it all we got) you finally left the table (uh-uh) and what a simple thought you're starving till you're not and all of the foes, and all of the friends (ha-ha) have messed up before, they'll mess up again (ha-ha) life is a song, it ends when it ends you move on and that's when i told you it's alright you were dancing through the lightning strikes sleepless in the onyx night but now the sky is opalite oh-oh, oh, oh, oh, my lord never met no one like you before you had to make your own sunshine but now the sky is opalite oh-oh, oh, oh, oh this is just a storm inside a teacup but shelter here with me, my love thunder like a drum this life will beat you up, up, up, up this is just a temporary speed bump but failure brings you freedom and i can bring you love (love), love (love), love don't you sweat it, baby it's alright you were dancing through the lightning strikes sleepless in the onyx night but now the sky is opalite oh-oh, oh, oh, oh, my lord never met no one like you before you had to make your own sunshine but now the sky is opalite oh-oh, oh, oh, oh"
Father Figure,"when i found you, you were young wayward, lost in the cold pulled up to you in the jag' turned your rags into gold the winding road leads to the château you remind me of a younger me i saw potential i'll be your father figure, i drink that brown liquor i can make deals with the devil because my dick's bigger this love is pure profit, just step into my office i dry your tears with my sleeve leave it with me i protect the family leave it with me i protect the family i pay the check before it kisses the mahogany grain said: they want to see you rise, they don't want you to reign i showed you all the tricks of the trade all i ask for is your loyalty my dear protégé i'll be your father figure, i drink that brown liquor i can make deals with the devil because my dick's bigger this love is pure profit, just step into my office they'll know your name in the streets leave it with me i protect the family (ooh) i saw a change in you (saw a change, saw a change, yeah) my dear boy, they don't make loyalty like they used to (not like they used to) your thoughtless ambition sparked the ignition on foolish decisions which led to misguided visions that to fulfill your dreams you had to get rid of me i protect the family i was your father figure, we drank that brown liquor you made a deal with this devil, turns out my dick's bigger you want a fight, you found it, i got the place surrounded you'll be sleeping with the fishes before you know, you're drowning whose portrait's on the mantle? who covered up your scandals? mistake my kindness for weakness and find your card cancelled i was your father figure, you pulled the wrong trigger this empire belongs to me leave it with me i protect the family leave it with me i protect the family leave it with me you know you remind me of a younger me i saw potential"
Eldest Daughter,"everybody's so punk on the internet everyone's unbothered till they're not every joke's just trolling and memes sad as it seems, apathy is hot everybody's cutthroat in the comments every single hot take is cold as ice when you found me, i said i was busy that was a lie i have been afflicted by a terminal uniqueness i've been dying just from trying to seem cool but i'm not a bad bitch and this isn't savage but i'm never gonna let you down i'm never gonna leave you out so many traitors smooth operators but i'm never gonna break that vow i'm never gonna leave you now, now, now you know, the last time i laughed this hard was on the trampoline in somebody's backyard i must've been about eight or nine that was the night i fell off and broke my arm pretty soon i learned cautious discretion when your first crush crushes something kind when i said i don't believe in marriage that was a lie every eldest daughter was the first lamb to the slaughter so we all dressed up as wolves and we looked fire but i'm not a bad bitch and this isn't savage but i'm never gonna let you down i'm never gonna leave you out so many traitors smooth operators but i'm never gonna break that vow i'm never gonna leave you now, now, now we lie back a beautiful, beautiful time-lapse ferris wheels, kisses and lilacs and things i said were dumb 'cause i thought that i'd never find that beautiful, beautiful life that shimmers that innocent light back like when we were young every youngest child felt they were raised up in the wild but now you're home 'cause i'm not a bad bitch and this isn't savage and i'm never gonna let you down i'm never gonna leave you out so many traitors smooth operators but i'm never gonna break that vow (never gonna break that vow) i'm never gonna leave you now, now, now (never gonna break that vow) mm-mm (never gonna leave you) now, now i'm never gonna leave you now"
Ruin The Friendship,"glistening grass from september rain grey overpass full of neon names you drive, mm-mm eighty-five, mm-mm gallatin road and the lakeside beach watching the game from your brother's jeep your smile, mm-mm miles wide and it was not an invitation should've kissed you anyway should've kissed you anyway and it was not convenient, no but your girlfriend was away should've kissed you anyway, hey shiny wood floors underneath my feet disco ball makes everything look cheap have fun, mm-mm it's prom, mm-mm witted corsage dangles from my wrist over his shoulder, i catch a glimpse and see, mm-mm you looking at me and it was not an invitation but as the 50 cent song played (song played) should've kissed you anyway (anyway) and it was not (it was not) convenient (convenient), no would've been the best mistake should've kissed you anyway, ayy don't make it awkward in second period might piss your ex off lately we've been good staying friends is safe doesn't mean you should don't make it awkward in second period might piss your ex off lately we've been good staying friends is safe doesn't mean you should when i left school, i lost track of you abigail called me with the bad news goodbye and we'll never know why it was not an invitation but i flew home anyway with so much left to say it was not convenient, no but i whispered at the grave should've kissed you anyway, ooh and it was not (it was not) an invitation (invitation), oh should've kissed you anyway (anyway) should've kissed you anyway (anyway), anyway and it was not my advice is always: ruin the friendship better that than regret it for all time should've kissed you anyway and my advice is: always answer the question better that than to ask it all your life should've kissed you anyway should've kissed you anyway"
Actually Romantic,"i heard you call me boring barbie when the coke's got you brave high-fived my ex and then you said you're glad he ghosted me wrote me a song saying it makes you sick to see my face some people might be offended but it's actually sweet all the time you've spent on me it's honestly wild all the effort you've put in it's actually romantic i really got to hand it to you no man has ever loved me like you do hadn't thought of you in a long time but you keep sending me funny valentines and i know you think it comes off vicious but it's precious, adorable like a toy chihuahua barking at me from a tiny purse that's how much it hurts how many times has your boyfriend said: why are we always talking about her? it's actually sweet all the time you've spent on me it's honestly wild all the effort you've put in it's actually romantic i really got to hand it to you no man has ever loved me like you do you think i'm tacky, baby stop talking dirty to me it sounded nasty but it feels like you're flirting with me i mind my business, god's my witness that i don't provoke it it's kind of making me wet 'cause it's actually sweet all the time you've spent on me it's honestly lovely all the effort you've put in it's actually romantic i really got to hand it to you, to you no man has ever loved me like you do it's actually romantic you've just given me so much attention it's actually romantic it's so romantic"
Wi$h Li$t,"they want that yacht life, under chopper blades they want those bright lights and balenci' shades and a fat ass with a baby face they want it all they want that complex female character they want that critical smash palme d'or and an oscar on their bathroom floor they want it all and they should have what they want they deserve what they want hope they get what they want i just want you, ooh have a couple kids, got the whole block looking like you we tell the world to leave us the fuck alone, and they do wow, got me dreaming 'bout a driveway with a basketball hoop boss up, settle down got a wish (wish) list (list), i just want you they want that freedom, living off the grid they want those three dogs that they call their kids and that good surf, no hypocrites they want it all they want a contract with real madrid they want that spring break that was fucking lit and then that video taken off the internet they want it all and they should have what they want they deserve what they want i hope they get what they want i just want you (you), ooh (yeah) have a couple kids, got the whole block looking like you we tell the world to leave us the fuck alone, and they do (ooh) wow, got me dreaming 'bout a driveway with a basketball hoop boss up, settle down got a wish (wish) list (list) i made wishes on all of the stars please, god, bring me a best friend who i think is hot i thought i had it right once, twice (twice), but i did not you caught me off my guard i hope i get what i want (get what) 'cause i know what i want i just want you (baby) have a couple kids, got the whole block looking like (got 'em looking like you) you we tell the world to leave us the fuck alone, and they do wow, got me dreaming 'bout a driveway with a basketball hoop boss up, settle down got a wish (wish) list (list) i just want you, ooh (i want you) have a couple kids, got the whole block looking like (you) you we tell the world to leave us the fuck alone, and they do (yeah) wow, (and now you) got me dreaming 'bout a driveway with a basketball hoop boss up, settle down got a wish (wish) list (list), i just want you"
Wood,"daisy's bare naked, i was distraught he loves me not, he loves me not penny's unlucky, i took him back and then stepped on a crack and the black cat laughed and baby, i'll admit i've been a little superstitious (superstitious) fingers crossed until you put your hand on mine (ah) seems to be that you and me, we make our own luck a bad sign is all good i ain't got to knock on wood all of that bitchin', wishing on a falling star never did me any good i ain't got to knock on wood it's you and me forever dancing in the dark (all) over me, it's understood i ain't got to knock on wood forgive me, it sounds cocky he ah-matized me and opened my eyes redwood tree, it ain't hard to see his love was the key that opened my thighs girls, i don't need to catch the bouquet, mm to know a hard rock is on the way and baby, i'll admit i've been a little superstitious (superstitious) the curse on me was broken by your magic wand (ah) seems to me that you and me, we make our own luck new heights (new heights) of manhood (manhood) i ain't gotta knock on wood all of that bitchin', wishing on a falling star never did me any good i ain't got to knock on wood it's you and me forever dancing in the dark (all) over me, it's understood i ain't got to knock on wood forgive me, it sounds cocky he ah-matized me and opened my eyes redwood tree, it ain't hard to see his love was the key that opened my thighs forgive me, it sounds cocky he ah-matized me and opened my eyes redwood tree, it ain't hard to see his love was the key that opened my thighs"
CANCELLED!,"you thought that it would be okay, at first the situation could be saved, of course but they'd already picked out your grave and hearse beware the wrath of masked crusaders did you girl-boss too close to the sun? did they catch you having far too much fun? come with me, when they see us they'll run something wicked this way comes good thing i like my friends cancelled i like 'em cloaked in gucci and in scandal like my whiskey sour and poison thorny flowers welcome to my underworld where it gets quite dark at least you know exactly who your friends are they're the ones with matching scars it's easy to love you when you're popular the optics click, everyone prospers but one single drop, you're off the roster tone-deaf and hot, let's fuckin' off her did you make a joke only a man could? were you just too smug for your own good? or bring a tiny violin to a knife fight? baby, that all ends tonight good thing i like my friends cancelled (cancelled) i like 'em cloaked in gucci and in scandal like my whiskey sour and poison thorny flowers (honey) welcome to my underworld, it'll break your heart at least you know exactly who your friends are they're the ones with matching scars they stood by me before my exoneration they believed i was innocent so i'm not here for judgment, no but if you can't be good, then just be better at it everyone's got bodies in the attic or took somebody's man, we'll take you by the hand and soon you'll learn the art of never getting caught it's a good thing i like my friends cancelled (you know that) i like 'em cloaked in gucci and in scandal like my whiskey sour and poison thorny flowers (ooh) it's a good thing i like my friends cancelled (cancelled) i salute you if you're much too much to handle like my whiskey sour (i like it) and poison thorny flowers (i love it) can't you see my infamy loves company? now they've broken you like they've broken me but a shattered glass is a lot more sharp and now you know exactly who your friends are you know who we are we're the ones with matching scars"
