Song,Lyrics
Fortnight,"i was supposed to be sent away but they forgot to come and get me i was a functioning alcoholic till nobody noticed my new aesthetic all of this to say: i hope you're okay but you're the reason and no one here's to blame but what about your quiet treason? and for a fortnight, there we were, forever run into you sometimes, ask about the weather now, you're in my backyard, turned into good neighbors your wife waters flowers, i wanna kill her all my mornings are mondays stuck in an endless february i took the miracle move-on drug the effects were temporary and i love you, it's ruining my life (i love you, it's ruining my life) i touched you for only a fortnight (i touched you), but i touched you and for a fortnight, there we were, forever run into you sometimes, ask about the weather now, you're in my backyard, turned into good neighbors your wife waters flowers, i wanna kill her and for a fortnight, there we were together run into you sometimes, comment on my sweater now, you're at the mailbox, turned into good neighbors my husband is cheating, i wanna kill him i love you, it's ruining my life (i love you, it's ruining my life) i touched you for only a fortnight (i touched you), i touched you i love you, it's ruining my life (i love you, it's ruining my life) i touched you for only a fortnight (i touched you), i touched you thought of calling ya, but you won't pick up ‘nother fortnight lost in america move to florida, buy the car you want but it won't start up till you touch, touch, touch me thought of calling ya, but you won't pick up ‘nother fortnight lost in america move to florida, buy the car you want but it won't start up till i touch, touch, touch you"
The Tortured Poets Department,"(ooh) you left your typewriter at my apartment straight from the tortured poets department i think some things i never say like: who uses typewriters anyway? but you're in self-sabotage mode throwing spikes down on the road but i've seen this episode and still love the show who else decodes you? and who's gonna hold you like me? and who's gonna know you, if not me? i laughed in your face and said you're not dylan thomas (oh), i'm not patti smith (oh) this ain't the chelsea hotel, we'rе modern idiots and who's gonna hold you like me? nobody no-fucking-body nobody you smokеd, then ate seven bars of chocolate we declared charlie puth should be a bigger artist i scratch your head, you fall asleep like a tattooed golden retriever but you awaken with dread pounding nails in your head but i've read this one where you come undone i chose this cyclone with you and who's gonna hold you like me? (who's gonna hold you? who's gonna hold you?) and who's gonna know you like me? (who's gonna know you?) i laughed in your face and said you're not dylan thomas (oh), i'm not patti smith (oh) this ain't the chelsea hotel, we're modern idiots and who's gonna hold you like me? (who's gonna hold you? who's gonna hold you?) no-fucking-body (who's gonna hold you? who's gonna hold you?) nobody (who's gonna hold you, gonna know you, gonna troll you?) nobody (ooh-ooh) sometimes, i wonder if you're gonna screw this up with me but you told lucy you'd kill yourself if i ever leave and i had said that to jack about you, so i felt seen everyone we know understands why it's meant to be (oh) 'cause we're crazy so tell me, who else is gonna know me? at dinner, you take my ring off my middle finger and put it on the one people put wedding rings on and that's the closest i've come to my heart exploding who's gonna hold you? (who?) me who's gonna know you? (who?) me and you're not dylan thomas (oh), i'm not patti smith (oh) this ain't the chelsea hotel, we're two idiots who's gonna hold you? who's gonna hold you? (who's gonna hold you?) who's gonna hold you? (who's gonna hold you?) who's gonna hold you? who's gonna hold you? who's gonna hold you, gonna know you, gonna troll you? you left your typewriter at my apartment straight from the tortured poets department who else decodes you? (ooh-ooh)"
My Boy Only Breaks His Favorite Toys,"oh, here we go again the voices in his head called the rain to end our days of wild the sickest army doll purchased at the mall rivulets descend my plastic smile but you should've seen him when he first got me my boy only breaks his favorite toys, toys, oh-oh-oh-oh-oh i'm queen of sand castles he destroys, oh, oh-oh-oh-oh-oh 'cause it fit too right, puzzle pieces in the dead of night i should've known it was a matter of time, oh, oh-oh-oh-oh-oh my boy only breaks his favorite toys, oh, oh-oh-oh there was a litany of reasons why we could've playеd for keeps this time i know i'm just repeating mysеlf put me back on my shelf but first, pull the string and i'll tell you that he runs because he loves me (he loves me) 'cause you should've seen him when he first saw me my boy only breaks his favorite toys, toys, oh-oh-oh-oh-oh i'm queen (i'm queen) of sand castles he destroys, oh, oh-oh-oh-oh-oh 'cause i knew too much, there was danger in the heat of my touch he saw forever, so he smashed it up, oh, oh-oh-oh-oh-oh my boy (my boy), only breaks his favorite toys, oh, oh-oh-oh (oh-oh-oh, oh-oh-oh) once i fix me (oh-oh-oh, oh-oh-oh) he's gonna miss me (oh-oh-oh, oh-oh-oh) once i fix me (oh-oh-oh, oh-oh-oh) he's gonna miss me just say when, i'd play again he was my best friend down at the sandlot i felt more when we played pretend than with all the kens 'cause he took me out of my box (oh-oh, oh-oh) stole my tortured heart (oh-oh, oh-oh) left all these broken parts (oh-oh) told me i'm better off (oh-oh) but i'm not i'm not"
Down Bad,"did you really beam me up in a cloud of sparkling dust just to do experiments on tell me i was the chosen one show me that this world is bigger than us then sent me back where i came from? for a moment, i knew cosmic love now i'm down bad, cryin' at the gym everything comes out teenage petulance fuck it if i can't have him i might just die, it would make no difference down bad, wakin' up in blood starin' at the sky, come back and pick me up fuck it if i can't have us i might just not get up, i might stay down bad fuck it if i can't have him down bad fuck it if i can't have him did you take all my old clothes just to leave me here, naked and alone in a field in my same old town that somehow seems so hollow now? they'll say i'm nuts if i talk about the existence of you for a moment, i was heavenstruck now i'm down bad, cryin' at the gym (cryin' at the gym) everything comes out teenage petulance fuck it if i can't have him (fuck it if i can't have him) i might just die, it would make no difference down bad, wakin' up in blood (wakin' up in blood) starin' at the sky, come back and pick me up fuck it if i can't have us i might just not get up, i might stay down bad (like i lost my twin) fuck it if i can't have him (down bad) down bad (wavin' at the ship) fuck it if i can't have him i loved your hostile takeovers encounters closer and closer all your indecent exposures how dare you say that it's—? i'll build you a fort on some planet where they can all understand it how dare you think it's romantic leaving me safe and stranded? 'cause fuck it, i was in love so fuck you if i can't have us (ah) 'cause fuck it, i was in love now i'm down bad, cryin' at the gym (cryin' at the gym) everything comes out teenage petulance fuck it if i can't have him (can't have him) i might just die, it would make no difference down bad, wakin' up in blood (wakin' up in blood) starin' at the sky, come back and pick me up fuck it if i can't have us i might just not get up, i might stay down bad (like i lost my twin) fuck it if i can't have him (down bad) down bad (wavin' at the ship) fuck it if i can't have him like i lost my twin fuck it if i can't have him down bad (wavin' at the ship) fuck it if i can't have him"
"So Long, London","i saw in my mind fairy lights through the mist i kept calm and carried the weight of the rift pulled him in tighter each time he was drifting away my spine split from carrying us up the hill wet through my clothes, weary bones caught the chill i stopped trying to make him laugh, stopped trying to drill the safe thinking how much sad did you think i had, did you think i had in me? oh, the tragedy so long, london you'll find someone i didn't opt in to be your odd man out i founded the club she's heard great things about i left all i knew, you left me at the house by the hеath i stopped cpr, after all, it's no use thе spirit was gone, we would never come to and i'm pissed off you let me give you all that youth for free for so long, london stitches undone two graves, one gun i'll find someone and you say i abandoned the ship, but i was going down with it my white knuckle dying grip holding tight to your quiet resentment and my friends said it isn't right to be scared every day of a love affair every breath feels like rarest air when you're not sure if he wants to be there so how much sad did you think i had, did you think i had in me? how much tragedy? just how low did you think i'd go 'fore i'd self implode? 'fore i'd have to go be free? you swore that you loved me but where were the clues? i died on the altar waiting for the proof you sacrificed us to the gods of your bluest days and i'm just getting color back into my face i'm just mad as hell 'cause i loved this place for so long, london had a good run a moment of warm sun but i'm not the one so long, london stitches undone two graves, one gun you'll find someone"
But Daddy I Love Him,"i forget how the west was won i forget if this was ever fun i just learned these people only raise you to cage you sarahs and hannahs in their sunday best clutching their pearls, sighing: what a mess i just learned these people try and save you 'cause they hate you too high a horse for a simple girl to rise above it they slammed the door on my whole world the one thing i wanted now i'm running with my dress unbuttoned screaming: but, daddy, i love him! i'm having his baby no, i'm not, but you should see your faces i'm telling him to floor it through the fences no, i'm not coming to my senses i know he's crazy, but he's the one that i want dutiful daughter, all my plans were laid tendrils tucked into a woven braid growing up precocious sometimes means not growing up at all he was chaos, he was revelry bedroom eyes like a remedy soon enough, the elders had convened down at the city hall stay away from her, the saboteurs protested too much lord knows the words we never heard just screeching tires and true love now i'm running with my dress unbuttoned screaming: but, daddy, i love him! i'm having his baby no, i'm not, but you should see your faces i'm telling him to floor it through the fences no, i'm not coming to my senses i know he's crazy, but he's the one i want i'll tell you something right now i'd rather burn my whole life down than listen to one more second of all this bitching and moaning i'll tell you something about my good name it's mine alone to disgrace i don't cater to all these vipers dressed in empath's clothing god save the most judgmental creeps, who say they want what's best, for me sanctimoniously performing soliloquies i'll never see thinking it can change the beat of my heart when he touches me and counteract the chemistry and undo the destiny you ain't gotta pray for me me and my wild boy, and all this wild joy if all you want is grey for me, then it's just white noise, and it's just my choice there's a lotta people in town that i bestow upon my fakest smiles scandal does funny things to pride, but brings lovers closer we came back when the heat died down, went to my parents and they came around all the wine moms are still holding out, but fuck 'em, it's over now i'm dancing in my dress in the sun and even my daddy just loves him i'm his lady and, oh, my god, you should see your faces time, doesn't it give some perspective? and no, you can't come to the wedding i know he's crazy, but he's the one i want i'll tell you something right now you ain't gotta pray for me me and my wild boy, and all of this wild joy (he was chaos, he was revelry) if all you want is gray for me then it's just white noise, and it's my choice screamin': but, daddy, i love him! i'm having his baby no, i'm not but you should see your faces but, oh, my god, you should see your faces he was chaos, he was revelry"
Fresh Out The Slammer,"now, pretty baby i'm running back home to you fresh out the slammer, i know who my first call will be to (fresh out the slammer, oh) another summer taking cover, rolling thunder he don't understand me splintered back in winter, silent dinners, bitter he was with her in dreams gray and blue, and fights and tunnels handcuffed to the spell i was under for just one hour of sunshine years of labor, locks and ceilings in the shade of how he was feeling but it's gonna be alright, i did my time now, pretty baby i'm running back home to you fresh out the slammer, i know who my first call will be to (fresh out the slammer, oh) camera flashes, welcome bashes get the matches, toss the ashes off the ledge as i said in my letters, now that i know better i will never lose my baby again my friends tried, but i wouldn't hear it watched me daily disappearing for just one glimpse of his smile all those nights you kept me goin' swirled you into all of my poems now we're at the starting line, i did my time now, pretty baby i'm runnin' to the house where you still wait up and that porch light gleams (gleams) to the one who says i'm the girl of his american dreams and no matter what i've done, it wouldn't matter anyway ain't no way i'm gonna screw up, now that i know what's at stake here at the park where we used to sit on children's swings wearing imaginary rings but it's gonna be alright, i did my time"
Florida!!!,"you can beat the heat if you beat the charges too they said i was a cheat, i guess it must be true and my friends all smell like weed or little babies and this city reeks of driving myself crazy little did you know your home's really only a town you're just a guest in so you work your life away just to pay for a timeshare down in destin florida is one hell of a drug florida, can i use you up? the hurricane with my name, when it came i got drunk and i dare it to wash me away barricaded in the bathroom with a bottle of wine well, me and my ghosts, we had a hell of a time yes, i'm haunted, but i'm feeling just fine all my girls got their lace and their crimes and your cheating husband disappeared well, no one asks any questions here so i did my best to lay to rest all of the bodies that have ever been on my body and in my mind, they sink into the swamp is that a bad thing to say in a song? little did you know your home's really only the town you'll get arrested so you pack your life away just to wait out the shitstorm back in texas florida is one hell of a drug florida, can i use you up? i need to forget, so take me to florida i got some regrets, i'll bury them in florida tell me i'm despicable, say it's unforgivable at least the dolls are beautiful fuck me up, florida i need to forget, so take me to florida i got some regrets, i'll bury them in florida tell me i'm despicable, say it's unforgivable what a crash, what a rush, fuck me up, florida it's one hell of a drug it's one hell of a drug love left me like this and i don't want to exist so take me to florida little did you know your home's really only a town you're just a guest in (florida) so you work your life away just to pay for a timeshare down in destin (florida) little did you know your home's really only the town you'll get arrested (florida) so you pack your life away just to wait out the shitstorm back in texas florida is one hell of a drug (take me to florida) florida, can i use you up? florida is one hell of a drug florida, go on, fuck me up"
Guilty as Sin?,"drowning in the blue nile he sent me downtown lights i hadn't heard it in a while my boredom's bone deep this cage was once just fine am i allowed to cry? i dream of cracking locks throwing my life to the wolves, or the ocean rocks crashing into him tonight, he's a paradox i'm seeing visions, am i bad? or mad? or wise? what if he's written mine on my upper thigh only in my mind? one slip and falling back into the hedge maze, oh, what a way to die i keep recalling things we never did messy top lip kiss, how i long for our trysts without ever touching his skin how can i be guilty as sin? i keep these longings locked in lowercase inside a vault someone told me: there's no such thing as bad thoughts, only your actions talk these fatal fantasies giving way to labored breath taking all of me, we've already done it in my head if it's make believe, why does it feel like a vow we'll both uphold somehow? what if he's written mine on my upper thigh only in my mind? one slip and falling back into the hedge maze, oh, what a way to die my bedsheets are ablaze, i screamed his name building up like waves crashing over my grave without ever touching his skin how can i be guilty as sin? what if i roll the stone away? they're gonna crucify me anyway what if the way you hold me is actually what's holy? if long suffering propriety is what they want from me they don't know how you've haunted me so stunningly i choose you and me, religiously what if he's written mine on my upper thigh only in my mind? one slip and falling back into the hedge maze, oh, what a way to die i keep recalling things we never did messy top lip kiss, how i long for our trysts without ever touching his skin how can i be guilty as sin? he sent me downtown lights i hadn't heard it in a while am i allowed to cry?"
Who's Afraid of Little Old Me?,"the who's who of who's that is poised for the attack but my bare hands paved their paths you don't get to tell me about sad if you wanted me dead you should've just said nothing makes me feel more alive so i leap from the gallows and i levitate down your street crash the party like a record scratch as i scream who’s afraid of little old me? you should be the scandal was contained the bullet had just grazed at all costs, keep your good name you don't get to tell me you feel bad is it a wonder i broke? let's hear one morе joke then we could all just laugh until i cry so i lеap from the gallows and i levitate down your street crash the party like a record scratch as i scream who's afraid of little old me? i was tame, i was gentle till the circus life made me mean don't you worry, folks, we took out all her teeth who's afraid of little old me? well, you should be (you should be) you should be (you should be) you should be you should be (you should be) you should be (you should be) you should be so tell me everything is not about me, but what if it is? then say they didn't do it to hurt me, but what if they did? i wanna snarl and show you just how disturbed this has made me you wouldn't last an hour in the asylum where they raised me so all you kids can sneak into my house with all the cobwebs i'm always drunk on my own tears, isn't that what they all said? that i'll sue you if you step on my lawn that i'm fearsome, and i'm wretched and i'm wrong put narcotics into all of my songs and that's why you're still singing along so i leap from the gallows and i levitate down your street crash the party like a record scratch as i scream who’s afraid of little old me? i was tame, i was gentle till the circus life made me mean don't you worry, folks, we took out all her teeth who's afraid of little old me? well you should be (you should be) you should be (you should be) you should be 'cause you lured me (you should be) and you hurt me (you should be) and you taught me you caged me and then you called me crazy i am what i am 'cause you trained me so who's afraid of me? so who's afraid of little old me? who's afraid of little old me?"
